番号,都道府県,地区名称等,種別,選定年月日,選定基準,面積（ha）,pdfurl
90,山口,萩市堀内地区,武家町,1976-09-04,（二）,55.0,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_90.pdf
91,山口,萩市平安古地区,武家町,1976-09-04,（二）,4.0,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_91.pdf
92,山口,萩市浜崎,港町,2001-11-14,（二）,10.3,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_92.pdf
93,山口,萩市佐々並市,宿場町,2011-06-20,（二）,20.8,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_93.pdf
94,山口,柳井市古市金屋,商家町,1984-12-10,（一）,1.7,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_94.pdf
95,徳島,美馬市脇町南町,商家町,1988-12-16,（一）,5.3,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_95.pdf
96,徳島,三好市東祖谷山村落合,山村集落,2005-12-27,（三）,32.3,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_96.pdf
97,徳島,牟岐町出羽島,漁村集落,2017-02-23,（三）,3.7,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_97.pdf
98,香川,丸亀市塩飽本島町笠島,港町,1985-04-13,（三）,13.1,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_98.pdf
99,愛媛,西予市宇和町卯之町,在郷町,2009-12-08,（二）,4.9,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_99.pdf
100,愛媛,内子町八日市護国,製蝋町,1982-04-17,（三）,3.5,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_100.pdf
101,高知,室戸市吉良川町,在郷町,1997-10-31,（一）,18.3,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_101.pdf
102,高知,安芸市土居廓中,武家町,2012-07-09,（二）,9.2,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_102.pdf
103,福岡,八女市八女福島,商家町,2002-05-23,（二）,19.8,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_103.pdf
104,福岡,八女市黒木,在郷町,2009-06-30,（三）,18.4,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_104.pdf
